doi,title,first_flagged
10.1016/j.ygcen.2025.114855,In silico analysis of the slipper lobster (Thenus australiensis) neuropeptidome reveals unique enrichment of peptide hormones in reproductive tissues using multi-tissue transcriptomics.,2026-07-13
10.1186/s12915-026-02603-w,Identification of neuropeptide networks involved in the ecdysis program of a crustacean model: Carcinus maenas reveal similarities and differences to insects that reflect evolutionary divergence in structure and function.,2026-07-13
10.64898/2026.05.04.721987,Bridging genomes and peptidomes: hybrid sequencing reveals conserved bioactive peptides in crustaceans,2026-07-13
10.1101/2025.04.26.650751,Characterization of a crustacean hyperglycemic hormone of the horsehair crab  <i>Erimacrus isenbeckii</i>,2026-07-13
10.1007/s10126-025-10505-1,"Transcriptional and Translational Analysis of the Expression of CHH, MIH, and GIH in PmLyO-Sf9 Cell Line Towards Developing a Novel In Vitro Model for Shrimp Endocrinology.",2026-07-13
10.3390/ijms26104612,Identification and Functional Analysis of a Key Gene in the CHH Gene Family for Glucose Metabolism in the Pacific White Shrimp &lt;i&gt;Litopenaeus vannamei&lt;/i&gt;.,2026-07-13
10.3390/ani15040540,Key Neuropeptides Regulating Molting in Pacific White Shrimp (<i>Penaeus vannamei</i>): Insights from Transcriptomic Analysis.,2026-07-13
